airline_id,name,code_type,iata_code,icao_code,country,region,status,active,website,wikidata_id,notes
HW,North-Wright Airways Ltd.,iata,HW,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HX,Hong Kong Airlines,iata,HX,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HY,Uzbekistan Airways,iata,HY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
HZ,Sakhalinskie Aviatrassy,iata,HZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
I6,Air Indus (Pvt.) Ltd.,iata,I6,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
I8,Izhavia,iata,I8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
I9,Air Italy,iata,I9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IB,Iberia,iata,IB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
ID,Batik Air,iata,ID,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IE,Solomon Airlines,iata,IE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IG,Meridiana fly S.p.A.,iata,IG,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IL,PT Trigana Air,iata,IL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IN,InvestAvia,iata,IN,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IOS,Isles of Scilly Skybus,legacy_or_icao_like,,IOS,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IR,Iran Air,iata,IR,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IX,Air India Express,iata,IX,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IY,Yemenia Yemen Airways,iata,IY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
IZ,Arkia - Israeli Airlines,iata,IZ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J2,Azerbaijan Airlines,iata,J2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J3,Northwestern Air Lease Ltd.,iata,J3,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J4,Badr Airlines,iata,J4,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J5,Alaska Seaplane Service L.L.C.,iata,J5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J8,Berjaya Air,iata,J8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
J9,Jazeera Airways,iata,J9,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JA,BH Airlines,iata,JA,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JB,Helijet International Inc,iata,JB,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JD,Beijing Capital Airlines,iata,JD,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JE,Mango,iata,JE,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JH,Fuji Dream Airlines,iata,JH,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JJ,TAM Linhas Aereas,iata,JJ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JL,Japan Airlines,iata,JL,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JP,Adria Airways,iata,JP,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JQ,Jetstar Airways,iata,JQ,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
